Name,HP
Nixie,9
Sailors,9
Skull Swarm,9
Spider Swarm,9
Stench Beetle,9
Sylph,9
Tengu,9
Vanara,9
Water Strider Swarm,9
Atomie,10
Fetchling,10
Forgotten One,10
Half-Orc,10
Kasatha,10
Nagaji,10
Tiefling,10
Wyvaran,10
Aasimar,11
Android,11
Barbegazi,11
Buckawn,11
Bull Shark,11
Carrionstorm,11
Clawbat,11
Common Eurypterid,11
Deer,11
Dimorphodon,11
Dolphin,11
Ethereal Rat,11
Executioner's Hood,11
Executioner's Hood,11
Giant Archerfish,11
Giant Blister Beetle,11
Giant Crab Spider,11
Giant Gecko,11
Gnoll,11
Golden Cat,11
Gorbel,11
Half-Elf,11
Homunculus,11
Jack-O'-Lantern,11
Jigsaw Shark,11
Lashunta,11
Lizardfolk,11
Mandrill,11
Pedipalp,11
Pickled Punk,11
Ram,11
Rune Guardian,11
Samsaran,11
Sea Snake,11
Sheep,11
Skulk,11
Small Fire Elemental,11
Small Lightning Elemental,11
Small Magma Elemental,11
Small Smoke Elemental,11
Suli,11
Tabaxi,11
Vishkanya,11
Wood Idol,11
Zoog,11
Catfolk,12
Fast Zombie,12
Ghoran,12
Grippli,12
Human Zombie,12
Oread,12
Plague Zombie,12
Pyre Zombie,12
Sciurian,12
Almiraj,13
Bat Swarm,13
Bone Delver,13
Camel,13
Carbuncle,13
Cassisian,13
City Guards,13
Coral Capuchin,13
Dark Dancer,13
Dhampir,13
Dire Corby,13
Dossenus,13
Euparkeria,13
Faun,13
Fire Fish,13
Fire Nymph,13
Fire Snake,13
Fleshdreg,13
Forlarren,13
Frost Dwarf,13
Gar,13
Ghost Scorpion,13
Ghoul,13
Ghoul Monkey,13
Giant Caribe,13
Giant Solifugid,13
Giant Tick,13
Goblin Snake,13
Grioth,13
Guardian Phantom Armor,13
Half-ogre,13
Hunter Urchin,13
Hyena,13
Krenshar,13
Lacedon,13
Lantern Archon,13
Lemure,13
Lynx,13
Margay,13
Mockingfey,13
Mongrelman,13
Monkey Goblin,13
Monstrous Jellyfish,13
Ningyo,13
Octopus,13
Ogren,13
Ogrillon,13
Ostrich,13
Paracletus,13
Pipefox,13
Pony,13
Reefclaw,13
Riding Dog,13
Scarlet Spider Swarm,13
Shifty Nobles,13
Silvanshee,13
Small Air Elemental,13
Small Earth Elemental,13
Small Gravity Elemental,13
Small Ice Elemental,13
Small Mud Elemental,13
Small Negative Energy Elemental,13
Small Positive Energy Elemental,13
Small Water Elemental,13
Spore Rat,13
Squid,13
Stingray,13
Thought Eater,13
Triaxian,13
Tri-flower Frond,13
Troglodyte,13
Tsathar,13
Venomous Snake,13
Witchcrow,13
Witherstench,13
Wolf,13
Baric,14
Monaciello,14
Quickling,14
Akata,15
Giant Amoeba, 15
Arbiter,15
Azer,15
Baboonwere,15
Bog Strider,15
Boilborn,15
Dakon,15
Darkmantle,15
Death's Head Jellyfish,15
Dire Corby,15
Edon,15
Elk,15
Flind,15
Frost Fir,15
Fungus Leshy,15
Giant Fly,15
Giant Frog,15
Giant Frog,15
Grimlock,15
Gryph,15
Gryph,15
Hippocampus,15
Horse,15
Human Juju Zombie,15
Iron Cobra,15
Iron Cobra,15
Leaf Ray,15
Malenti,15
Mongrelman,15
Mudman,15
Pseudodragon,15
Sahuagin,15
Stag,15
Svirfneblin,15
Undead Ningyo,15
Wolpertinger,15
Barizou Demon,16
Bogwiggle,16
Bone Idol,16
Bugbear,16
Cadaver,16
Cave Scorpion,16
Choker,16
Clockwork Familiar,16
Coffer Corpse,16
Cythnigot,16
Deadly Mandrake,16
Doru,16
Drow Noble,16
Dweomercat Cub,16
Fungus Man,16
Giant Bee,16
Giant Falcon,16
Giant Fly,16
Giant Marmoset,16
Giant Spider,16
Harbinger Archon,16
Hedon,16
Rhianna Horse,16
Huecuva,16
Huecuva,16
Imp,16
Kuru,16
Lesser Boneneedle,16
Lightning Mephit,16
Medium Barracuda,16
Oakman,16
Petitioner,16
Piranha Swarm,16
Plagued Steed,16
Poltergeist,16
Quasit,16
Rat Swarm,16
Screaming Devilkin,16
Sin Seeker,16
Skulk,16
Slinker,16
Smoke Mephit,16
Snake Swarm,16
Stormwarden,16
Tiger Fish,16
Vegepygmy Worker,16
Voidworm,16
Volt,16
Weedwhip,16
Worker Thermite,16
Dire Racoon,17
Electric Eel,17
Foo Dog,17
Ghast,17
Hagfish,17
Hobgoblin,17
Melancholic Ooze Swarm,17
Mythic Human Skeleton,17
Skeletal Champion,17
Slurk,17
Timber Wolf,17
Trox,17
Ulfen Raider,17
Blindheim,18
Boar,18
Contemplative,18
Contemplative Of Ashok,18
Death Dog,18
Dretch,18
Forlarren,18
Four-armed,18
Ghoul Wolf,18
Giant Ant,18
Giant Flying Piranha,18
Ice Troll,18
Incutilis,18
Kapre,18
Leprechaun,18
Locust Swarm,18
Pech,18
Pixie,18
Poisonous Frog Swarm,18
Pooka,18
Quickling,18
Raven Swarm,18
Ravenous Urchin Swarm,18
Sczarni Thugs,18
Skin Stealer,18
Swamp Barracuda,18
Wererat,18
Wyrwood,18
Asp,19
Augur,19
Banderlog,19
Cacodaemon,19
Cave Moray,19
Chaneque,19
Charau-Ka,19
Cheetah,19
Chupacabra,19
Clubnek,19
Constrictor Snake,19
Crabman,19
Dark Creeper,19
Dark Creeper,19
Draugr,19
Medium Fire Crab,19
Fleshdreg Swarm,19
Garden Ooze,19
Giant Beheaded,19
Giant Crab,19
Giant Leech,19
Giant Leech,19
Giant Water Strider,19
Gorilla,19
Gutlslug,19
Kampfult,19
Kappa,19
Kijimuna,19
Leopard,19
Lyrakien,19
Manta Ray,19
Mature Slime Crawler,19
Medium Salt Elemental,19
Mephit,19
Monstrous Crab,19
Nosoi,19
Nuglub,19
Panda,19
Panotti,19
Poltergeist,19
Ram,19
Ratling,19
Shadow,19
Shadowgarm,19
Shikigami,19
Ship In A Bottle,19
Shocker Lizard,19
Sinspawn,19
Soulbound Doll,19
Soulsliver,19
Spirit Oni,19
Stone Idol,19
Thawn,19
Tripurasura,19
Triton,19
Ubue,19
Vargouille,19
Water Wraith,19
Werewolf,19
Wichtlein,19
Adamantine Cobra,20
Jinx Eater,20
Mystery Cultists,20
Skum,20
Smugglers,20
Wererat,20
Archer Bush,21
Clockwork Overseer,21
Werewolf,21
Aurochs,22
Axe Beak,22
Axe Beak,22
Azizou Demon,22
Dire Badger,22
Blindheim,22
Blink Dog,22
Boggard,22
Brine Zombie,22
Cambion,22
Cave Fisher,22
Cave Fisher,22
Ceru,22
Clockwork Parasite,22
Cooshee,22
Crocodile,22
Dark Slayer,22
Death Dog,22
Dire Bat,22
Electric Eel,22
Faerie Dragon,22
Faerie Dragon,22
Fetch,22
Fey Giant Toad,22
Fey Wolverine,22
Flame Drakeling,22
Fogwarden,22
Frost Man,22
Ghoul-stirge,22
Giant Locust,22
Giant Porcupine,22
Giant Silverfish,22
Giant Tiger Barb,22
Giant Toad,22
Giant Tortoise,22
Glacial Haunt,22
Guardian Doll,22
Hanged Man,22
Hippogriff,22
Ice Drake,22
Jackalwere,22
Jade Idol,22
Juvenile Seps,22
Large Monstrous Sea Wasp,22
Lava Child,22
Lupin,22
Mammoth Flea,22
Medium Acid Quasi-elemental,22
Medium Obsidian Quasi-elemental,22
Medium Stingray,22
Monitor Lizard,22
Monkey Swarm,22
Morlock,22
Niserie,22
Normal Spriggan,22
Nycar,22
Oozeanderthal,22
Ovinnik,22
Phooka,22
Plantoid Servitor,22
Pyrolisk,22
Raktavarna,22
Retch Hound,22
Ronus,22
Ryven,22
Sasquatch,22
Shadow Drake,22
Shadow Hunter Hatchling,22
Shark,22
Shredskin,22
Shulsaga,22
Smoke Dragon,22
Spriggan,22
Stalk Beetle,22
Swordfish,22
Tangtal,22
Tatzlwyrm,22
Tentamort,22
Thoqqua,22
Troblin,22
T'shann,22
Valeany,22
Velociraptor,22
Water Leaper,22
Whip Jelly,22
Wolverine,22
Wyrmling Gray Dragon,22
Wyrmling White Dragon,22
Xacon,22
Yellow Musk Creeper,22
Yellow Musk Creeper,22
Orog,23
Werebat,23
Hoar Fox,24
Medium Gravity Elemental,24
Brush Thylacine,25
Choleric Ooze Swarm,25
Derro,25
Frost Drakeling,25
Lesser Ooze Demon,25
Lightning Lamprey,25
Marble Snake,25
Ogrekin,25
Phycomid,25
Pirate Officers,25
River Cleric,25
River Elk,25
Sheet Fungus,25
Slitherrat,25
Stench Kow,25
Taer,25
Urdefhan,25
Adherer,26
Aspis Agents,26
Burning Ghat,26
Cockroach Swarm,26
Crysmal,26
Decapus,26
Defender Globe,26
Dire Hyena,26
Domovoi,26
Doppelganger,26
D'ziriak,26
Eblis,26
Frost Wight,26
Fungal Crawler,26
Gambado,26
Giant Clam,26
Giant Eagle,26
Giant Horsefly,26
Giant Seahorse,26
Hoar Spirit,26
Jaguar,26
Kech,26
Knight Gaunt,26
Medium Lightning Elemental,26
Monstrous Crayfish,26
Mountain Lion,26
Necrocraft,26
Necro-Phantom,26
Pard,26
Phlogiston,26
Piranha Swarm,26
Ravager Beetle,26
Sandling,26
Shadow Wolf,26
Skin Feaster,26
Skull Child,26
Skulleton,26
Spring-Heeled Jack,26
Spyglass Archon,26
Stymphalian Bird,26
Sudoth,26
Tether,26
Thorny,26
Tikoloshe,26
Vampire Spawn,26
Vegepygmy Guard,26
Wang Liang,26
Werebat,26
Wight,26
Worg,26
Baccae,27
Bone Swarm,27
Chon Chon Swarm,27
Cockatrice,27
Comozant Wyrd,27
Domovoi,27
Dryad,27
Dust Digger,27
Giant Skunk,27
Grick,27
Korred,27
Lamhigyn,27
Pech,27
Rust Monster,27
Sloth Viper,27
Solifugid,27
Twigjack,27
Undead Ooze,27
Velvet Ant Swarm,27
Warden Jack Swarm,27
Werecrocodile,27
Ankheg,28
Kelpie,28
Korog,28
Piranha Swarm,28
Slime Mold,28
Yhakkor,28
Weretiger,29
Accuser,30
Adaro,30
Adherer,30
Ahlinni,30
Allip,30
Argos,30
Assassin Vine,30
Babbler,30
Belabra,30
Belostomatid,30
Bonesnapper,30
Borsin,30
Centaur,30
Ceratioidi,30
Cerebric Fungus,30
Chickcharney,30
Chike,30
Chupacabra,30
Clamor,30
Common Inphidian,30
Dancer Inphidian,30
Dire Ape,30
Disenchanter,30
Drekavac,30
Elusa Hound,30
Ettercap,30
Fire Drake,30
Flail Snail,30
Flail Snail,30
Formian Warrior,30
Fukujin,30
Fye,30
Giant Boring Beetle,30
Giant Chameleon,30
Giant Hamster,30
Giant Mantis,30
Giant Rock-horned Lizard,30
Giant Seahorse,30
Giant Water Beetle,30
Giraffe,30
Greater Fire Crab,30
Hammerhead Shark,30
Hell Hound,30
Jupiter Bloodsucker,30
Kamadan,30
Khaei,30
Lacridaemon,30
Lava Child,30
Lesser Gelid Beetle,30
Lesser Host Devil,30
Magmin,30
Marine Crocodile,30
Medium Air Elemental,30
Medium Fire Elemental,30
Medium Ice Elemental,30
Medium Magma Elemental,30
Medium Mud Elemental,30
Medium Negative Energy Elemental,30
Medium Positive Energy Elemental,30
Medium Smoke Elemental,30
Medium Water Elemental,30
Medusa Head,30
Merrow Freshwater, 30
Mindslaver Mold,30
Moose,30
Moss Troll,30
Narwhal,30
Nightmare Ettercap,30
Ogre,30
Phantom Fungus,30
Sandman,30
Sandman,30
Seaweed Leshy,30
Snallygaster,30
Snow Leopard,30
Strangle Weed,30
Tidepool Dragon,30
Trollhound,30
Vampire Rose,30
Vampiric Mist,30
Vermlek,30
Violet Fungus,30
Walrus,30
Wereboar,30
Werecrocodile,30
Wolliped,30
Wolliped,30
Wyrmling Black Dragon,30
Wyrmling Brass Dragon,30
Yeth Hound,30
Yeti,30
Zombie Lord,30
Centipede Swarm,31
Clockwork Servant,31
Diger,31
Man-Eating Aurochs,31
Mosquito Swarm,31
Mudbog,31
Wasp Swarm,31
Wereboar,31
Abrikandilu,32
Bone Cobbler,32
Bronze Sentinel,32
Bunyip,32
Dire Weasel,32
Giant Bumblebee Worker,32
Giant Dragonfly Nymph,32
Giant Saw-toothed Beetle,32
Gloomwing,32
Gnoll Mutant,32
Greater Witchcrow,32
Haunt,32
Kech,32
Lion,32
Marsh Jelly,32
Pteranodon,32
Sirine Flower,32
Ukobach,32
Besmaran Priest,33
Dobie,33
Gallows Tree Zombie,33
Grave Mount,33
Jack-o-lantern,33
Korred,33
Mehrim Demon,33
Screaming Skull,33
Small Lightning Quasi-elemental,33
Transposer,33
Tsathar Scourge,33
War Flower,33
Wereshark,33
Cairn Wight,34
Deinonychus,34
Dimetrodon,34
Dire Fox,34
Giant Chameleon,34
Giant Rot Grub,34
Giant Sea Anemone,34
Giant Wasp,34
Gronk,34
Hag Ooze,34
Hippocampus,34
Kathlin,34
Large Spriggan,34
Medium Earth Elemental,34
Megaloceros,34
Megaloceros Elk,34
Mobat,34
Mobat Bat,34
Moose,34
Night Scale Assassins,34
Pegasus,34
River Drake,34
Screamer,34
Shoanti Gladiators,34
Skitterdark Demon,34
Unicorn,34
Werebear,34
Penanggalen,35
Shackled Sorcerers,35
Animated Object,36
Caryatid Column,36
Mythic Worg,36
Necrophidius,36
Wereshark,36
Algoid,37
Aranea,37
Barrow Wight,37
Basidirond,37
Caterwaul,37
Church Grim,37
Cobra-back Inphidian,37
Dire Wolf,37
Disenchanter,37
Fungoid,37
Giant Black Widow Spider,37
Giant Phantom Armor,37
Giant Scorpion,37
Giant Slicer Beetle,37
Gloomwing,37
Grimshrike,37
Hala,37
Hellstoker Devil,37
Howler,37
Juvenile Rukh,37
Mandragora,37
Myceloid,37
Nightgaunt,37
Pachycephalosaurus,37
Schir,37
Soldier Thermite,37
Vegepygmy Bodyguard,37
Venomous Snake Swarm,37
Voltar,37
Voonith,37
Weretiger,37
Witherweed,37
Wyrmling Copper Dragon,37
Wyrmling Green Dragon,37
Young Dungeon Dragon,37
Zombyre,37
Zuvembie,37
Agathion,38
Blood Golem,38
Crab Swarm,38
Draug,38
Dvorovoi,38
Fire Phantom,38
Giant Whiptail Centipede,38
Green Guardian Gargoyle,38
Harpy,38
Huldra,38
Kelpie,38
Peg Powler,38
Sea Hag,38
Sewer Sludge,38
Shae,38
Shriezyx,38
Slime Mold,38
Swamp Troll,38
Thin Man,38
Udaeus,38
Boggart,39
Calathgar,39
Dark Stalker,39
Dark Stalker,39
Fen Witch,39
Fungus Weird,39
Geruzou Demon,39
Giant Pike,39
Giant Yellowjacket,39
Hound Archon,39
Janni,39
Lar,39
Leech Swarm,39
Mawler,39
Otyugh,39
Phycomid,39
Shadow Rat Swarm,39
Slicer Beetle,39
Stone Roper,39
Swordtooth Shark,39
Tentamort,39
Tuyewera,39
Umbral Shepherd,39
Vulnudaemon,39
Wikkawak,39
Botfly Swarm,40
Mummy Of The Deep,40
Will-o'-Wisp,40
Fossegrim,41
Pirate Captains,41
Aghash,42
Algoid,42
Amphisbaena,42
Bison,42
Bloody Bones,42
Bunyip,42
Carrion Golem,42
Caryatid Column,42
Cavern Lizard,42
Chrystone,42
City Watch Captains,42
Clockwork Brain Gear,42
Clockwork Swarm,42
Clockwork Warrior,42
Cobalt Viper,42
Devilfish,42
Dire Boar,42
Dire Mastiff,42
Dire Stag,42
Dire Wolverine,42
Doombat Bat,42
Dust Digger,42
Faceless Stalker,42
Forest Drake,42
Gargoyle,42
Giant Tuatara,42
Giant Vulture,42
Gorilla Bear,42
Grave Risen,42
Great White Shark,42
Greater Boneneedle,42
Griffon,42
Grizzly Bear,42
Grothlut,42
Half-Celestial Unicorn,42
Junk Golem,42
Kamadan,42
Khargra,42
Kuwa,42
Living Topiary,42
Longboat Captain,42
Mask Golem,42
Narwhal,42
Nirento,42
Peryton,42
Plantoid,42
Rhinoceros,42
Serpentfolk,42
Slithering Tracker,42
Spear Urchin,42
Stunjelly,42
Thriae Soldier,42
Tombotu,42
Umasi,42
Very Young Gray Dragon,42
Very Young White Dragon,42
Wax Golem,42
Marble Sentinel,43
Mythic Cockatrice,43
Trench Zombie,43
Werewolverine,43
Crystalline Golem,44
Lurker In Light,44
Satyr,44
Sparksting Swarm,44
Albino Cave Solifugid,45
Alu-Demon,45
Amphisbaena,45
Attic Whisperer,45
Barghest,45
Black Skeleton,45
Bloodworm,45
Carrion Moth,45
Cecaelia,45
Cobra Flower,45
Corpse Rook,45
Crag Man,45
Dawn Piper,45
Decapus,45
Devil Dog,45
Eye Killer,45
Fachen,45
Fungus Man King,45
Giant Dragonfly,45
Giant Dragonfly,45
Giant Hornet,45
Giant Stag Beetle,45
Grig Swarm,45
Ice Troll,45
Large Salt Elemental,45
Lythic,45
Magnesium Spirit,45
Minotaur,45
Night Adder Inphidian,45
Parasaurolophus,45
Phantom Stalker,45
Rock Reptile,45
Sand Stalker,45
Sea Cat,45
Selkie,45
Skin Stitcher,45
Sprite Swarm,45
Temporal Crawler,45
Tiger,45
Wolf-spider,45
Wyrmling Blue Dragon,45
Wyrmling Bronze Dragon,45
Yamah,45
Yeti,45
Gibbering Mouther,46
Living Wall,46
Necrophidius,46
Werebear,46
Werewolverine,46
Boalisk,47
Bogwid,47
Chemosit,47
Cimota,47
Demonic Mist,47
Divine Guardian Hydra,47
Ectoplasm,47
Freezing Flow,47
Gargoyle Stone Idol,47
Hanu-Naga,47
Hungry Flesh,47
Hyaenodon,47
Hydra,47
Mythic Hell Hound,47
Owlbear,47
Scarecrow,47
Scarecrow,47
Sentient Wax Golem,47
Shobhad,47
Slithering Tracker,47
Stone Guardian Golem,47
Tanuki,47
Vapor Wasp,47
Vescavor Swarm,47
Viduus,47
Wraith,47
Army Ant Swarm,49
Risen Guard,49
Drelb,50
Filcher Gremlin,50
Gelatinous Cube,50
Giant Dire Frog,50
Gray Ooze,50
Lightning Bladder,50
Mythic Ogre,50
Buggane,51
Carrion Claw,51
Catrina,51
Cavern Crawler,51
Cayhound,51
Cloaker,51
Dandasuka,51
Emberleaf,51
Emperor Cobra,51
Fear Guard,51
Fire Eel,51
Genthodaemon,51
Ghul,51
Grey Spirit,51
Hippopotamus,51
Homotherium,51
Jiang-shi,51
Kodama,51
Large Acid Quasi-elemental,51
Large Obsidian Quasi-elemental,51
Leonine,51
Mercane,51
Murder-born,51
Nightmare,51
Phase Spider,51
Raiju,51
Rast,51
Rattler Inphidian,51
Serpent Creeper,51
Shadow Mastiff,51
Smilodon,51
Thoxel,51
Tojanida,51
Vegepygmy Subchief,51
Venedaemon,51
Very Young Black Dragon,51
Very Young Brass Dragon,51
Vireseed Swarm,51
Vodyanoi,51
Achaierai,52
Apostasy Wraith,52
Apparition,52
Ascomoid,52
Ascomoid,52
Basidirond,52
Basilisk,52
Blightspawn of Ghlaunder,52
Blood Orchid,52
Blood Pudding,52
Bluetip Eurypterid,52
Bog Beast,52
Cave Troll,52
Corpse Candle,52
Crypt Thing,52
Dark Caller,52
Darnoc,52
Dire Rat Megaswarm,52
Djinni,52
Festering Lung,52
Forester's Bane,52
Gearghost,52
Giant Blowfish,52
Giant Bumblebee Queen,52
Giant Crawling Hand,52
Giant Hellgrammite,52
Giant Moray Eel,52
Giant Moray Eel,52
Gilded Sea Serpent,52
Grimstalker,52
Huge Monstrous Sea Wasp,52
Lampad,52
Lamprey Swarm,52
Midnight Peddler,52
Mimic,52
Neomimic,52
Noble Steed,52
Ogre Spider,52
Ostiarius,52
Polar Bear,52
Sabosan,52
Scythe Horn,52
Siren,52
Skinstitch,52
Spectre,52
Spider Eater,52
Spitting Gargoyle,52
Stymphalides Swarm,52
Styracosaurus,52
Uraeus,52
Vampiric Ooze,52
Wood Giant,52
Angelic Guardian,53
Graven Guardian,53
Ice Golem,53
Mirror Man,53
Rope Golem,53
Jellyfish Swarm,54
Berserker Cannibal,55
Blackraven Scout,55
Larva Helix Moth,55
Mercury Ooze,55
Niln,55
Protector,55
Swan Maiden,55
Crypt Thing,56
Andrazku,57
Bearded Devil,57
Blood Bush,57
Brimorak,57
Caterprism,57
Churr,57
Flame Drake,57
Four-armed Gargoyle,57
Giant Owl,57
Globster,57
Gloom Haunt,57
Great Diadem Urchin,57
Half-Fiend Minotaur,57
Ja Noi,57
Leucrotta,57
Manticore,57
Mist Drake,57
Nothosaur,57
Rat King,57
Saltwater Crocodile,57
Stroke Lad,57
Ved,57
Winter Wolf,57
Yamabushi Tengu,57
Burning Dervish,58
Cerebral Stalker,58
Elven Wasp,58
Festering Spirit,58
Giant Abyssal Dire Frog,58
Greater Shadow,58
Green Hag,58
Skaveling,58
Stegocentipede,58
Archelon,59
Crystalline Horror,59
Derhii,59
Elder Thing,59
Fungus Gargoyle,59
Giant Barracuda,59
Giant Frilled Lizard,59
Giant Queen Bee,59
Greater Host Devil,59
Hippopotamus,59
Host Devil,59
Hungry Fog,59
Hypnalis,59
Ice Salamander,59
Megatherium,59
Ommoth,59
Onyx Deer,59
Oronci,59
Possession Lesser,59
Saguaroi,59
Scorpionfolk,59
Shadow Demon,59
Shadow Demon,59
Tazelwurm,59
Tupilaq,59
Undead Mimic,59
Very Young Copper Dragon,59
Very Young Green Dragon,59
Vulpinal,59
Wind Walker,59
Wyrmling Red Dragon,59
Aberrant,60
Aswang,60
Bog Mummy,60
Bogeyman,60
Bonesucker,60
Cave Lion,60
Crawling Offspring,60
Dire Lion,60
Giant Ant Lion,60
Giant Mosquito,60
Greater Medusa,60
Gulper Eel,60
Hieracosphinx,60
Hodag,60
Kyton,60
Large Fire Elemental,60
Large Lightning Elemental,60
Large Magma Elemental,60
Large Smoke Elemental,60
Mihstu,60
Mummy,60
Nithu,60
Nymph,60
Polevik,60
Redcap,60
Sword Wight,60
Vetala,61
Mythic Gargoyle,62
Mythic Griffon,62
Tear of Nuruu'gal,62
Ice Golem,63
Jolly Jelly,63
Killer Seahorse,63
Margoyle Gargoyle,63
Ochre Jelly,63
Riptide Horror,63
River Troll,63
Sabrewing,63
Scrag,63
Troll,63
Turtle-shark,63
Blood Golem,64
Bottled Armada,64
Clockwork Soldier,64
Golden Guardian,64
Magnesium Golem,64
Mummy Golem,64
Pestilential Cadaver,64
Terra-Cotta Soldier,64
Wood Golem,64
Wood Golem,64
Crystal Ooze,65
Cyclops,65
Encephalon Gorger,65
Ettin,65
Graeae,65
Kamarupa,65
Moon Dog,65
Algidarch,66
Annis Hag,66
Bladecoin Swarm,66
Blodeuwedd,66
Bralani Azata,66
Brethedan,66
Death Worm,66
Gallu-Demon,66
Grodair,66
Hydrodaemon,66
Mi-Go,66
Xorn,66
Young Crystal Dragon,66
Young Gray Dragon,66
Young White Dragon,66
Ant Lion,67
Baobhan Sith,67
Bhuta,67
Boobrie,67
Brykolakas,67
Cave Giant,67
Dream Spectre,67
Giant Assassin Bug,67
Giant Death Watch Beetle,67
Gylptodon,67
Heat Swarm,67
Lamia,67
Melfesh Monster,67
Mudlord,67
Murder Crow,67
Mythic Owlbear,67
Orca,67
Petrified Maiden,67
Queen Thermite,67
Red Jester,67
Scarab Beetle,67
Scythe Tree,67
Seugathi,67
Shambling Mound,67
Uggoth,67
Wood Giant,67
Xill,67
Ahuizotl,68
Astral Shark,68
Belker,68
Berbalang,68
Bloodsuckle,68
Bucentaur,68
Cambion Demon,68
Ceustodaemon,68
Choral Angel,68
Cinder Ghoul,68
Clockwork Titan,68
Crimson Basilisk,68
Death Worm,68
Death's Head Inphidian,68
Demiurge,68
Dire Worg,68
Feral Vampire Spawn,68
Giant Forest Lizard,68
Giant Funnel-Web Spider,68
Grimslake,68
Guardian Daemon,68
Helicoprion,68
Herne,68
Huge Salt Elemental,68
Lantern Goat,68
Large Air Elemental,68
Large Earth Elemental,68
Large Ice Elemental,68
Large Mud Elemental,68
Large Negative Energy Elemental,68
Large Positive Energy Elemental,68
Large Stingray,68
Large Water Elemental,68
Lunar Naga,68
Maftet,68
Memory Child,68
Renzer,68
River Giant,68
Ship Sentinel,68
Skrik Nettle,68
Soul Knight,68
Undead Troll,68
Very Young Blue Dragon,68
Very Young Bronze Dragon,68
Winter Fey,68
Witchwyrd,68
Wyrmling Gold Dragon,68
Young Brine Dragon,68
Amber Skeleton,69
Glacial Ooze,69
Thunder Beast,69
Tribal Totem,69
Bloodhaze Mosquito Swarm,71
Deathweb,71
Lesser Hollow Serpent,71
Nosferatu,71
Osirionologist,71
Sangoi,71
Mythic Minotaur,72
Arcanoplasm,73
Babau,73
Boreal Creature,73
Dracolisk,73
Fachan,73
Ghost,73
Giant Gar,73
Girallon,73
Glacier Toad,73
